"FUA","month","days","monthlyE","dailyE","meanDailyE","sdDailyE","cvDailyE"
"AL001L1","Jan","31","21709.7876484012","733.393663183421","0.0121692772572167","1.88892730655724","15522.0993542329"
"AL001L1","Feb","29","21710.4478004363","783.996034365905","0.0130089276601385","2.0192859761124","15522.3092084663"
"AL001L1","Mar","31","20718.4331408861","700.401719315154","0.0116218385045491","1.76649625893201","15199.8004295152"
"AL001L1","Apr","30","19976.9975877692","698.251221703669","0.0115861550742321","1.73199911046114","14948.86870894"
"AL001L1","May","31","20175.4878185698","682.332688227557","0.0113220171942315","1.70020907786867","15016.8388609665"
"AL001L1","Jun","30","20424.4516856596","713.638733784702","0.0118414816610477","1.78821562491844","15101.2827288391"
"AL001L1","Jul","31","20869.3344979389","705.423691635017","0.0117051686130657","1.78502145600618","15249.856836865"
"AL001L1","Aug","31","20790.9155525651","702.813919904567","0.0116618643995713","1.77538916170028","15223.8878867905"
"AL001L1","Sep","30","20391.9126230898","712.5197457453","0.0118229141762403","1.78411300633665","15090.2982102505"
"AL001L1","Oct","31","20757.1889905154","701.691513913484","0.0116432402003366","1.7712500344548","15212.6899727071"
"AL001L1","Nov","30","20719.2680968911","723.77716169001","0.0120097096487242","1.82548530320825","15200.0785747737"
"AL001L1","Dec","31","21231.26029915","717.468461584682","0.0119050287323646","1.82962027933324","15368.4658850029"
"AL003L1","Jan","31","2380.26247054813","82.1190039357539","0.00170949484638412","0.374675875698801","21917.3445589091"
"AL003L1","Feb","29","2380.26246888734","87.7823797754817","0.00182739096478718","0.400515574459487","21917.3445736135"
"AL003L1","Mar","31","2380.26246461957","82.1190037388925","0.001709494842286","0.37467587569882","21917.344611452"
"AL003L1","Apr","30","2380.26246219518","84.8563007285637","0.0017664779384342","0.387165057631516","21917.3446329422"
"AL003L1","May","31","2380.26246080878","82.1190036123723","0.00170949483965219","0.374675875698832","21917.3446452206"
"AL003L1","Jun","30","2380.26246080415","84.8563006808512","0.00176647793744096","0.38716505763152","21917.344645266"
"AL003L1","Jul","31","2380.26246068962","82.1190036084903","0.00170949483957138","0.374675875698832","21917.3446462567"
"AL003L1","Aug","31","2380.26246062424","82.119003606387","0.00170949483952759","0.374675875698833","21917.3446468181"
"AL003L1","Sep","30","2380.26246073842","84.8563006786635","0.00176647793739541","0.387165057631521","21917.3446458311"
"AL003L1","Oct","31","2380.26246083324","82.1190036131707","0.00170949483966881","0.374675875698832","21917.3446450075"
"AL003L1","Nov","30","2380.26246270001","84.8563007458977","0.00176647793879505","0.387165057631514","21917.3446284649"
"AL003L1","Dec","31","2380.26246844263","82.1190038657761","0.00170949484492737","0.374675875698808","21917.3445775864"
"AL004L1","Jan","31","1.65091572837552e-05","5.44764067112692e-07","1.11292174939772e-11","3.15246707239334e-11","283.2604425333"
"AL004L1","Feb","29","1.51629903473501e-05","5.34605732343183e-07","1.09216885399739e-11","2.98841482603222e-11","273.622051672181"
"AL004L1","Mar","31","1.17332855774214e-05","3.86173880933012e-07","7.8893109345035e-12","1.85984858323766e-11","235.742842268227"
"AL004L1","Apr","30","9.78555062085997e-06","3.32199744091374e-07","6.78665027051368e-12","1.42723688019335e-11","210.300637767403"
"AL004L1","May","31","8.66109499428011e-06","2.84175628968823e-07","5.80554513818103e-12","1.14844641597098e-11","197.818876373565"
"AL004L1","Jun","30","8.65513646162444e-06","2.93427162428687e-07","5.99454866143715e-12","1.17665832603624e-11","196.288059784328"
"AL004L1","Jul","31","8.544990876461e-06","2.8039141335679e-07","5.72823578330079e-12","1.13308018461129e-11","197.806135689193"
"AL004L1","Aug","31","8.48280209793617e-06","2.78390997718605e-07","5.68736843895901e-12","1.13677216617699e-11","199.876652687031"
"AL004L1","Sep","30","8.59275197901397e-06","2.91351394997879e-07","5.95214192318288e-12","1.1795879804383e-11","198.178738958483"
