"FUA","month","days","dailyS","meanDailyS","sdDailyS","cvDailyS"
"AL001L1","Jan","31","172.928712661593","0.00105935905427988","0.00129715276233332","122.446941581585"
"AL001L1","Feb","29","309.302241085364","0.0018947815233208","0.00239104022267198","126.190813729355"
"AL001L1","Mar","31","1050.82400549377","0.00643733424913022","0.00769832814033747","119.58875898634"
"AL001L1","Apr","30","2264.56211733772","0.0138726782039692","0.0161433309915727","116.367804069397"
"AL001L1","May","31","4552.78302672978","0.0278902898616739","0.0345135592515556","123.74758176674"
"AL001L1","Jun","30","4759.59707813886","0.0291572300622943","0.0375998010426963","128.955325874112"
"AL001L1","Jul","31","3282.94248906521","0.0201112631728031","0.0260333321767454","129.446529305781"
"AL001L1","Aug","31","2806.17124173953","0.0171905686860342","0.0223215047708354","129.847390034104"
"AL001L1","Sep","30","2518.15185305025","0.0154261656408717","0.0199616554748621","129.401277929842"
"AL001L1","Oct","31","1926.2672577428","0.011800288275123","0.0151480475200554","128.370147973334"
"AL001L1","Nov","30","977.355417039119","0.00598726662769999","0.00723463379173599","120.833666539337"
"AL001L1","Dec","31","322.081225032525","0.00197306541348897","0.00235991363207577","119.606456833215"
"AL003L1","Jan","31","104.015368176461","0.000825990789788303","0.00103833681729053","125.708038167914"
"AL003L1","Feb","29","200.694720975345","0.00159372594637686","0.00206585899744836","129.624481683619"
"AL003L1","Mar","31","729.803460778059","0.00579540261719442","0.00715244131175378","123.415779440986"
"AL003L1","Apr","30","1639.74678992473","0.0130213041573338","0.0159387677430379","122.405310178251"
"AL003L1","May","31","3143.22525705532","0.0249604953390455","0.0299581750998037","120.022358101766"
"AL003L1","Jun","30","3097.92006071175","0.0246007247054805","0.0298416288368893","121.303860736433"
"AL003L1","Jul","31","2069.12219553171","0.016430993865794","0.0203211013564342","123.675424155191"
"AL003L1","Aug","31","1835.43235400828","0.0145752521600302","0.0178257116298412","122.301222881926"
"AL003L1","Sep","30","1699.89842950746","0.0134989710748004","0.0162445086849344","120.338865791477"
"AL003L1","Oct","31","1298.0751764167","0.0103080742679682","0.0123213933205697","119.531476008645"
"AL003L1","Nov","30","648.949217026171","0.0051533353743899","0.00614390760898221","119.221963303904"
"AL003L1","Dec","31","212.794506980168","0.00168981089972181","0.00212148731449922","125.545841540523"
"AL004L1","Jan","31","152.48624055636","0.000825722860000866","0.00104345120366776","126.368210717415"
"AL004L1","Feb","29","200.781892140203","0.00108724693854011","0.00149199117109045","137.226523083505"
"AL004L1","Mar","31","906.893194679813","0.00491088533427093","0.00587465506178533","119.625172691137"
"AL004L1","Apr","30","3545.71512815379","0.0192002768622613","0.0200059018411696","104.195902927274"
"AL004L1","May","31","9211.40035658967","0.0498803290008646","0.0513025753555412","102.851317108698"
"AL004L1","Jun","30","10951.2345087849","0.0593016435197101","0.0635300099717943","107.130268574561"
"AL004L1","Jul","31","7873.06970049602","0.0426331818947096","0.047115772018056","110.514322234772"
"AL004L1","Aug","31","6685.64401667809","0.0362031949784918","0.0400390407803191","110.595323987582"
"AL004L1","Sep","30","5831.37055004342","0.0315772488766092","0.0340669142748351","107.884364492785"
"AL004L1","Oct","31","4144.55501954744","0.0224430336251012","0.0235327227964393","104.855355962749"
"AL004L1","Nov","30","1700.48237640667","0.0092082221064963","0.00949824433638328","103.14960072132"
"AL004L1","Dec","31","284.154182532619","0.0015387132860379","0.00181762059666","118.126009124174"
"AL005L0","Jan","31","100.908284857192","0.00192448191740459","0.00292152140160213","151.808202258516"
"AL005L0","Feb","29","149.194836542212","0.00284538346382523","0.00429570942533808","150.971195269515"
"AL005L0","Mar","31","433.628292111391","0.00826998306654826","0.0123151699525875","148.914089103783"
