"","Residential","NonResidential","Road","NonRoad","Agriculture","Total"
"AL001L1",202175.896297969,0,0,63.5419781506062,75694.2507932186,277933.689069338
"AL003L1",78077.9214965105,0,0,61.6333817839622,54016.4680411816,132156.022919476
"AL004L1",63021.1063127544,0,0,28.4733076691628,51638.5046651065,114688.08428553
"AL005L0",6708.7538317116,0,0,68.6764857936651,20111.5973669756,26889.0276844809
"AT001L2",6102913.78072336,4974032.82897162,1878551.02113396,14966.6932336853,234992.597199119,13205456.9212617
"AT002L2",1642379.08430767,502024.796432495,404663.383176766,1486.70451045502,23086.5552486165,2573640.523676
"AT003L2",1093088.52892715,550723.46988678,470163.255290031,6561.06006371975,68695.2438744083,2189231.55804209
"AT004L2",461146.046498047,40214.103105545,197360.847866628,951.466216844739,2020.92407583259,701693.387762898
"AT005L2",78816.1885491908,756.252456665039,96002.1779075116,378.833842405584,200.093408884481,176153.546164657
"AT006L1",377593.562972603,186564.44859314,112931.627556585,1276.29316215171,11765.8755996581,690131.807884138
"BA001L1",326057.374946803,0,0,0.367991662076747,13429.9655481586,339487.708486624
"BA002L1",271683.097726673,0,0,18.4291569323395,67117.4264898617,338818.953373467
"BA003L1",56337.7931882143,0,0,0.234625955054071,7708.20850560069,64046.23631977
"BA004L1",225103.438507468,0,0,0.48455437670691,16974.4699496515,242078.393011496
"BA005L1",50901.481698513,0,0,50.7577462536283,5911.96570273489,56864.2051475015
"BE001L2",12070886.6337242,1111693.55342722,2563266.3830204,19312.6807132065,161012.848661151,15926172.0995462
"BE002L2",7200880.21797758,1166298.12687111,1579067.97132158,534383.217125133,21069.5946291536,10501699.1279246
"BE003L2",2776747.8732686,733229.082077116,721116.295757294,44799.5801280737,47514.5276377499,4323407.35886884
"BE004L2",2115352.86796665,291945.177357793,365717.811274052,3409.52625224739,36092.1073163897,2812517.49016713
"BE005L2",2829311.79801083,537351.922080874,584587.778679371,4551.65042705834,40032.1253197715,3995835.2745179
"BE006L2",995076.512030602,262123.528159142,207421.973558187,27559.5589078218,23354.9243684113,1515536.49702416
"BE007L2",574623.482698441,25583.3856868744,200967.021420479,251.46633130312,33554.7835266888,834980.139663786
"BE008L1",1007633.33768463,101178.181708574,156055.227203369,268.908948361874,19038.7331320643,1284174.388677
"BE009L1",667081.681150436,41983.5754539967,113473.970702887,456.832496166229,10363.6287991703,833359.688602656
"BE010L1",613606.95998764,108904.674802512,124117.72726059,566.005380034447,9426.33228176832,856621.699712545
"BE011L1",397213.592431068,144880.92365402,61159.4527432919,1065.85513615608,12824.6524852514,617144.476449788
"BG001L2",624902.209068447,273756.22840327,453135.105246373,16593.7636866208,269233.515836824,1637620.82224154
"BG002L2",116941.345586523,63026.3597962856,97185.65759065,2635.77543642977,258626.443463009,538415.581872898
"BG003L2",67331.1975431219,21625.4949436188,46365.985375274,6461.53837646544,88700.4055895135,230484.621827994
"BG004L2",47401.0741307661,39269.8864242435,47967.3466900934,3965.84705123305,231315.929853624,369920.08414996
"BG005L1",34102.4260574579,24026.5234940052,15303.959441185,900.574473083019,241989.693190932,316323.176656663
"BG006L2",19757.2141199112,26065.8803969622,10617.5982846022,214.564640305936,169618.956727028,226274.214168809
"BG007L2",7677.78564716876,2450.90925717354,9452.20099949837,154.871040843893,68070.7808977365,87806.5478424211
"BG008L2",41786.2227469683,34222.727945447,15433.3375598192,257.39472091198,146363.445347995,238063.128321141
"BG009L1",37605.5965899155,14778.5434135199,11009.1601482332,45.6627958491445,118032.866515622,181471.829463139
"BG010L1",28306.1711531878,25040.3741841316,6647.40612876415,289.806067816913,206912.867725432,267196.625259332
"BG011L1",20872.5889122486,17255.2205057144,8754.87352991104,63.9937146678567,109649.309729844,156595.986392386
"BG013L1",21908.3437385559,10123.91355896,6163.3484300375,98.0778502821922,191365.839848161,229659.523425996
"BG014L1",21963.5282438993,4235.56766986847,7014.29012405872,881.844562441111,56791.8775982261,90887.1081984937
"BG015L1",42192.6534018517,11320.8691415787,17523.5051438808,26.3253489732742,80253.8218632638,151317.174899548
"BG016L1",24632.6564101498,5378.80331897736,17692.9617579244,80.1365679372102,23734.8398023574,71519.3978573461
"BG017L1",15575.9675773885,4304.40309429169,4620.55279671401,152.949976965785,48891.3088787198,73545.1823240798
"BG018L1",17440.339944765,4272.80378460884,7016.94409453869,13.3411331176758,44541.8070890233,73285.2360460535
"CH001L1",3469455.35504723,243754.948587179,691700.244058132,13085.932314977,10535.8170495629,4428532.29705708
"CH002L1",1122805.64390987,17833.2530171871,72067.7632214427,457.198996148378,9555.57590864599,1222719.43505329
"CH003L1",650246.197556838,98303.2898049951,147721.165709972,2297.75114062615,20419.5271007866,918987.931313219
"CH004L1",763170.62265873,32263.3022646904,162044.006501913,684.449395172298,22432.2787336409,980594.659554146
"CH005L1",368246.408123463,38832.1750694513,112826.897994041,524.430216237903,6923.97835897561,527353.88976217
"CH006L1",249341.496826172,21428.4029331207,72113.4119491577,197.715339720249,3734.06686219573,346815.093910366
"CH007L1",162236.866170883,6823.15948677063,23515.9851679802,87.6362378746271,3286.5197349824,195950.166798491
"CH008L1",388421.848266125,36658.7846469879,83995.8871684074,867.0729608275,4610.82128155231,514554.4143239
"CH009L1",94392.4511137605,10221.8615627289,58577.1122188568,185.304024398327,164.623292380478,163541.352212125
"CH010L1",111555.392883301,13578.5873744488,22093.828742981,92.1811407059431,985.675715483725,148305.66585692
"CY001L1",290241.862374708,0,167592.307248622,46.0872726608068,15272.8569603609,473153.113856352
"CY501L1",99622.647946775,0,107674.658600777,487.381815433502,1888.39854704402,209673.08691003
"CZ001L1",3103828.85229158,1026423.17434645,987284.890305161,13488.4890591353,654037.801045656,5785063.20704798
"CZ002L1",1061878.30737591,318174.763367176,290616.861917138,1267.58625300974,227934.546528786,1899872.06544202
"CZ003L1",1612978.834184,727395.629291743,297566.352238709,4494.78417897783,222984.817605764,2865420.41749919
"CZ004L1",362198.586874008,128528.545267344,134681.926466942,808.278071679175,198767.997477449,824985.334157422
"CZ005L1",205741.194597006,74881.9067087173,79098.9278219044,1765.66371257603,31580.7116265148,393068.404466718
"CZ006L1",243035.980786681,77388.2812891006,69959.7829483747,715.600777097046,132121.8076405,523221.453441754
"CZ007L1",302850.840270989,49576.5488674641,54895.85058254,429.38767940551,37234.4989079535,444987.126308352
